//GUIDE FOR TRANSLATORS
// Updated:11th of May, 2015

// 1) text with yellow background is comments and IS NOT to be translated
// 2) text with red background is ID's and IS NOT to be translated
// 3) codes inside the text MUST BE LEFT AS IS. 
// E.g. “... a second time. \n\nThe second heat-treatment...”: The '\n\n' and space around must be left as is
// 4) If there is a max character limit it will be stated in comments sections



//MATERIALS

Garbage	:		Ubrugeligt materiale
MaterialDescription_Garbage	:		Fuser … Der er ikke andet at gøre med det nu end at smide det væk.

Alumina	:		Aluminiumoxid
MaterialDescription_Alumina	:		Aluminiumoxid er en kemisk forbindelse af aluminium og ilt. \n\nDet har udmærkede egenskaber som elektrisk isolator og kan bruges til at styrke andre materialer der ellers er skrøbelige. Det kan også bruges som substrat.

Aluminium	:		Aluminium
MaterialDescription_Aluminium	:	Aluminium (Al) er et blødt og meget ledende metal der ofte bruges som materiale til elektroder.

Annealed_Glass	:		Udglødning af glas
MaterialDescription_Annealed_Glass	:		Udglødet glas er glas som er blevet varmebehandlet igen. \n\nDen anden varmebehandling gør glasset mere holdbart ved at fjerne interne spændinger som kan være opstået under afkølingsprocessen.

Old_Paper	:		Gammelt papir
MaterialDescription_Old_Paper	:		Genbrugspapir indeholder fremadstræbende forfatteres knuste drømme. Klar til at få et nyt formål.

Boron	:		Bor
MaterialDescription_Boron	:		Bor (B) er et sjældent forekommende grundstof som udvindes gennem minedrift. Bor bruges som dopant i halvlederindustrien, normalt på silicium (Si) eller germanium (Ge).

Ceramic_Substrate	:		Keramisk substrat
MaterialDescription_Ceramic_Substrate	:		Et substrat som kan modstå høje temperaturer, men som er skrøbeligt og går i stykker ved bøjende kræfter.

Carbon_Dioxide	:		Kuldioxid
MaterialDescription_Carbon_Dioxide	:		Kuldioxid (CO2) er en luftart der blandt andet er nødvendig for fotosyntesen.

Caustic_Soda	:		Kaustisk soda
MaterialDescription_Caustic_Soda	:		Kaustisk soda, også kaldet natriumhydroxid, er en uorganisk forbindelse.\n\nDen er meget letopløselig i vand og bruges ofte som rengøringsmiddel og til opløsning af kemiske forbindelser,

Molten_Iron_W_Slag	:		Smeltet jern m. slagger
MaterialDescription_Molten_Iron_W_Slag	:		Smeltet jern med uønsket affaldsmateriale, normalt kaldet slagger.\n\nSlagger indeholder oxider af tilbageblevne uønsket materiale.

Chalk	:		Kridt
MaterialDescription_Chalk	:	Kridt er et blødt, hvidt, porøst sedimentær bjergart, en slags kalksten bestående af mineralet kalk.

Chromium	:		Krom
MaterialDescription_Chromium	:		Krom (Cr) er et hård og sprødt metal som blandt andet findes i rubin.\n\nDet er meget modstandsdygtigt over for korrosion (rust), og det bruges derfor i mange legeringer og overfladebehandlinger.

Platinum	:		Platin
MaterialDescription_Platinum	:		Platin (Pt) er et ædelmetal som er meget korrosionsbestandigt. Denne egenskab sammen med at den er sjælden, har placeret den over gold på listen af prestigesymboler.\n\nDets modstandsdygtigt mod varme gør det egnet som elektrodemateriale til brug ved meget høje temperaturer. \n\nDet bruges også som katalysator i bil- og olieindustrien.

Substrate_W_Electrodes	:		Substrat med elektroder
MaterialDescription_Substrate_W_Electrodes	:		Et substrat belagt med et materiale som leder elektricitet og som derfor kan bruges som en elektrode.

Coal	:		Kul
MaterialDescription_Coal	:		Kul (nogle gange kaldet carbon) er et brændbart sort eller brun-sort sedimentær bjergart der normalt udvindes i miner.\n\nKul består primært af kulstof sammen med forskellige mængder af andre grundstoffer, især brint, svovl, ilt og kvælstof.

Copper	:		Kobber	
MaterialDescription_Copper	:		Kobber (Cu) er et grundstof med meget stor termisk og elektrisk ledeevne. Det har et smeltepunkt på 1084,62 °C.

Cullet	:		Glasaffald
MaterialDescription_Cullet	:		Knust, men ikke ubrugeligt. Glasaffald, der omsmeltes kan bruges til at lave nyt glas.

Dry_Clay	:		Tørt ler
MaterialDescription_Dry_Clay	:		Tørt ler er det grundlæggende element i en af de ældste byggematerialer i verden.

Pzt	:		PZT
MaterialDescription_PZT	:		Det er et keramisk materiale som består af bly, zirkonium, titanium og ilt.\n\nPZT kan opfange et bredt spektrum af vibrationer fra under hørbart til ultralydsfrekvenser, og det er det mest almindelige piezoelektriske materiale.

Dust	:		Støv
MaterialDescription_Dust	:		Meget findelt snavs der let bliver luftbåren.\n\nSætter sig i håret og åbninger. Er meget irriterende og forårsager en tør hoste.

Divine_Chicken	:		Guddommelig kylling
MaterialDescription_Divine_Chicken	:		En guddommelig kylling der blev forbandet af en vred bonde som havde fundet ud af at den i al hemmelighed havde sluppet millioner af kyllinger fri ved at få æggene til at ligne sten og så rulle dem ud af hønsegården.

Pvdf	:		PVDF
MaterialDescription_PVDF	:		Også kaldet polyvinylidenflourid. PVDF er også en elektro-aktiv polymer som frembringer en elektrisk spænding når der udøves mekanisk kraft på den, og det gør den egnet til høste energi fra menneskelig bevægelse (fx at gå).

Piezoelectric_Layer	:		Piezoelektrisk lag
MaterialDescription_Piezoelectric_Layer	:		Dette lag kan akkumulere en elektrisk ladning under mekanisk pres. 

Gold	:		Guld
MaterialDescription_Gold	:		Guld (Au) er et skinnende gult, kompakt, blødt, letbearbejdeligt og smidigt ædelmetal.\n\nDet beholder sine egenskaber når det udsættes for luft eller vand, og det er en udmærket elektrisk leder.

P_Type_Doped_Layer	:		P-type dopinglag
MaterialDescription_P_Type_Doped_Layer	:		Dette lag kan producere elektrisk energi, overført fra termisk energi, pga. bismuthtellurids termoelektriske egenskaber.

N_Type_Doped_Layer	:		N-type dopinglag
MaterialDescription_N_type_doped_layer	:		Dette lag kan producere elektrisk energi, overført fra termisk energi, pga. bismuthtellurids termoelektriske egenskaber.

Hardened_Clay	:		Mursten af hårdt ler
MaterialDescription_Hardened_Clay	:		En mursten af ler som man har ladet tørre i luften i lang tid.

Iron_Oxide	:		Jernoxid
MaterialDescription_Iron_Oxide	:		Jernoxid er en kemisk forbindelse af jern og ilt. Det kan udvindes af mineraler. 

Iron	:		Jern
MaterialDescription_Iron	:		Jern (Fe) er det mest almindelige grundstof på Jorden, og det udgør en stor del af Jordens ydre og indre kerne.


Lead_Oxide	:		Blyoxid
MaterialDescription_Lead_Oxide	:		Blyoxid (PbO) er en kemisk forbindelse af bly og ilt. Bly er et metal med stor densitet, og det bruges til afskærmning mod radioaktiv stråling.\n\nBly er meget giftigt, så undgå at spise det.


Limestone	:		Kalksten
MaterialDescription_Limestone	:		Kalksten er en sedimentær bjergart der for det meste består af mineralerne calcit og aragonit, som er to forskellige krystalstrukturer af kalciumkarbonat.\n\nDet bruges nogle gange som et ”flusmiddel” for at sænke smeltepunktet af andre materialer. Det er også i stand til at fjerne urenheder fra visse materialer.

Molten_Glass	:		Flydende glas
MaterialDescription_Molten_Glass	:		Glas har et smeltepunkt på mellem 1500 og 2500 °C, afhængigt af den konkrete sammensætning. \n\nDenne konkrete blanding af sand, kalksten og soda har et smeltepunkt på 1600 °C.

Nickel	:		Nikkel
MaterialDescription_Nickel	:		Nikkel (Ni) er et hårdt overgangsmetal der bruges i mange legeringer. Det er meget ydedygtigt under spænding.

Molten_Iron	:		Flydende jern
MaterialDescription_Molten_Iron	:		Jern i flydende form ved en temperatur over smeltepunktet på 1538 °C.

Phosphorus	:		Fosfor
MaterialDescription_Phosphorus	:		Fosfor (P) er et grundstof der normalt udvindes af mineraler. Hovedparten af fosforforbindelser bruges til gødning, men fosfor bruges også i halvlederteknologien som et doping-stof.

P_Type_Semiconductor	:		Bismuthtellurid (P-type)
